row_id,raw_image_path_from_csv,resolved_image_path,exists,file_size_bytes,issue
144,/data/all_images/image_144.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_144.jpeg,True,47347,
145,/data/all_images/image_145.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_145.jpeg,True,38619,
146,/data/all_images/image_146.png,/DATA5/prabhakar/telecom/extracted_images/images/image_146.png,True,34786,
147,/data/all_images/image_147.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_147.jpeg,True,43268,
148,/data/all_images/image_148.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_148.jpeg,True,48328,
149,/data/all_images/image_149.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_149.jpeg,True,68810,
150,/data/all_images/image_150.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_150.jpeg,True,46618,
151,/data/all_images/image_151.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_151.jpeg,True,32093,
152,/data/all_images/image_152.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_152.jpeg,True,84648,
153,/data/all_images/image_153.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_153.jpeg,True,24909,
154,/data/all_images/image_154.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_154.jpeg,True,54197,
155,/data/all_images/image_155.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_155.jpeg,True,70134,
156,/data/all_images/image_156.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_156.jpeg,True,77347,
157,/data/all_images/image_157.png,/DATA5/prabhakar/telecom/extracted_images/images/image_157.png,True,28822,
158,/data/all_images/image_158.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_158.jpeg,True,26318,
159,/data/all_images/image_159.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_159.jpeg,True,25442,
160,/data/all_images/image_160.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_160.jpeg,True,34198,
161,/data/all_images/image_161.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_161.jpeg,True,48115,
162,/data/all_images/image_162.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_162.jpeg,True,57409,
163,/data/all_images/image_163.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_163.jpeg,True,40778,
164,/data/all_images/image_164.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_164.jpeg,True,29984,
165,/data/all_images/image_165.png,/DATA5/prabhakar/telecom/extracted_images/images/image_165.png,True,27656,
166,/data/all_images/image_166.png,/DATA5/prabhakar/telecom/extracted_images/images/image_166.png,True,33605,
167,/data/all_images/image_167.png,/DATA5/prabhakar/telecom/extracted_images/images/image_167.png,True,28038,
168,/data/all_images/image_168.png,/DATA5/prabhakar/telecom/extracted_images/images/image_168.png,True,46297,
169,/data/all_images/image_169.png,/DATA5/prabhakar/telecom/extracted_images/images/image_169.png,True,33545,
170,/data/all_images/image_170.png,/DATA5/prabhakar/telecom/extracted_images/images/image_170.png,True,36890,
171,/data/all_images/image_171.png,/DATA5/prabhakar/telecom/extracted_images/images/image_171.png,True,28558,
172,/data/all_images/image_172.png,/DATA5/prabhakar/telecom/extracted_images/images/image_172.png,True,37420,
173,/data/all_images/image_173.png,/DATA5/prabhakar/telecom/extracted_images/images/image_173.png,True,35424,
174,/data/all_images/image_174.png,/DATA5/prabhakar/telecom/extracted_images/images/image_174.png,True,30330,
175,/data/all_images/image_175.png,/DATA5/prabhakar/telecom/extracted_images/images/image_175.png,True,23167,
176,/data/all_images/image_176.png,/DATA5/prabhakar/telecom/extracted_images/images/image_176.png,True,22643,
177,/data/all_images/image_177.png,/DATA5/prabhakar/telecom/extracted_images/images/image_177.png,True,23830,
178,/data/all_images/image_178.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_178.jpeg,True,42567,
179,/data/all_images/image_179.png,/DATA5/prabhakar/telecom/extracted_images/images/image_179.png,True,27133,
180,/data/all_images/image_180.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_180.jpeg,True,49761,
181,/data/all_images/image_181.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_181.jpeg,True,61563,
182,/data/all_images/image_182.png,/DATA5/prabhakar/telecom/extracted_images/images/image_182.png,True,33059,
183,/data/all_images/image_183.png,/DATA5/prabhakar/telecom/extracted_images/images/image_183.png,True,21327,
184,/data/all_images/image_184.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_184.jpeg,True,32774,
185,/data/all_images/image_185.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_185.jpeg,True,53322,
186,/data/all_images/image_186.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_186.jpeg,True,45546,
187,/data/all_images/image_187.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_187.jpeg,True,20793,
188,/data/all_images/image_188.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_188.jpeg,True,28545,
189,/data/all_images/image_189.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_189.jpeg,True,50697,
190,/data/all_images/image_190.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_190.jpeg,True,33813,
191,/data/all_images/image_191.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_191.jpeg,True,33474,
192,/data/all_images/image_192.png,/DATA5/prabhakar/telecom/extracted_images/images/image_192.png,True,27307,
193,/data/all_images/image_193.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_193.jpeg,True,42621,
